DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
219,132,1,2,0.0,0.5,12.0,0.3,0.5,1,1,N,2.66,0.0,15.96,2021-01-01 00:13:53,2021-01-01 00:06:27,3.7,2021-01-01 12:36:27,2021-01-01 12:43:53,446
41,79,1,2,2.5,0.5,21.5,0.3,0.5,1,1,N,4.0,0.0,29.3,2021-01-01 01:11:05,2021-01-01 00:47:46,6.56,2021-01-01 13:17:46,2021-01-01 13:41:05,1399
239,238,1,2,2.5,0.5,5.0,0.3,0.5,1,2,N,0.0,0.0,8.8,2021-01-01 00:21:43,2021-01-01 00:17:39,.58,2021-01-01 12:47:39,2021-01-01 12:51:43,244
238,142,1,2,2.5,0.5,7.0,0.3,0.5,1,1,N,2.16,0.0,12.96,2021-01-01 00:31:57,2021-01-01 00:25:23,1.37,2021-01-01 12:55:23,2021-01-01 13:01:57,394
43,137,1,2,2.5,0.5,10.0,0.3,0.5,1,2,N,0.0,0.0,13.8,2021-01-01 01:08:24,2021-01-01 00:58:03,2.65,2021-01-01 13:28:03,2021-01-01 13:38:24,621
229,137,1,1,2.5,3.0,5.5,0.3,0.5,0,1,N,1.86,0.0,11.16,2021-01-01 00:32:04,2021-01-01 00:27:44,1.2,2021-01-01 12:57:44,2021-01-01 13:02:04,260
234,234,1,1,2.5,3.0,7.5,0.3,0.5,1,1,N,2.0,0.0,13.3,2021-01-01 00:23:20,2021-01-01 00:14:25,.80,2021-01-01 12:44:25,2021-01-01 12:53:20,535
246,68,1,1,2.5,3.0,3.0,0.3,0.5,1,1,N,1.0,0.0,7.8,2021-01-01 00:50:04,2021-01-01 00:49:10,.20,2021-01-01 13:19:10,2021-01-01 13:20:04,54
140,236,1,2,2.5,0.5,6.0,0.3,0.5,1,1,N,3.0,0.0,12.8,2021-01-01 00:35:50,2021-01-01 00:31:10,1.24,2021-01-01 13:01:10,2021-01-01 13:05:50,280
43,140,1,2,2.5,0.5,8.5,0.3,0.5,1,1,N,2.46,0.0,14.76,2021-01-01 00:46:08,2021-01-01 00:37:24,1.91,2021-01-01 13:07:24,2021-01-01 13:16:08,524
238,239,1,2,2.5,0.5,4.0,0.3,0.5,1,1,N,1.56,0.0,9.36,2021-01-01 00:50:42,2021-01-01 00:47:51,.50,2021-01-01 13:17:51,2021-01-01 13:20:42,171
236,263,1,2,2.5,0.5,4.5,0.3,0.5,2,2,N,0.0,0.0,8.3,2021-01-01 00:15:05,2021-01-01 00:11:53,.70,2021-01-01 12:41:53,2021-01-01 12:45:05,192
238,236,1,2,2.5,0.5,6.0,0.3,0.5,3,1,N,1.96,0.0,11.76,2021-01-01 00:22:14,2021-01-01 00:17:52,1.29,2021-01-01 12:47:52,2021-01-01 12:52:14,262
137,231,1,2,2.5,0.5,14.5,0.3,0.5,2,2,N,0.0,0.0,18.3,2021-01-01 01:05:49,2021-01-01 00:53:51,4.26,2021-01-01 13:23:51,2021-01-01 13:35:49,718
50,68,1,1,2.5,3.0,5.5,0.3,0.5,1,3,N,0.0,0.0,9.3,2021-01-01 00:39:11,2021-01-01 00:34:38,.70,2021-01-01 13:04:38,2021-01-01 13:09:11,273
181,249,1,1,2.5,3.0,16.0,0.3,0.5,1,2,N,0.0,0.0,19.8,2021-01-01 01:14:37,2021-01-01 00:59:27,4.6,2021-01-01 13:29:27,2021-01-01 13:44:37,910
237,236,1,2,2.5,0.5,5.5,0.3,0.5,1,1,N,1.86,0.0,11.16,2021-01-01 00:22:46,2021-01-01 00:19:32,1.34,2021-01-01 12:49:32,2021-01-01 12:52:46,194
82,230,1,2,2.5,0.5,24.5,0.3,0.5,1,2,N,0.0,0.0,28.3,2021-01-01 01:15:13,2021-01-01 00:45:18,6.71,2021-01-01 13:15:18,2021-01-01 13:45:13,1795
234,114,1,1,2.5,3.0,11.5,0.3,0.5,2,1,N,4.55,0.0,19.85,2021-01-01 00:30:28,2021-01-01 00:14:39,1.6,2021-01-01 12:44:39,2021-01-01 13:00:28,949
100,48,1,1,2.5,3.0,7.5,0.3,0.5,1,1,N,1.0,0.0,12.3,2021-01-01 00:50:18,2021-01-01 00:40:50,1.1,2021-01-01 13:10:50,2021-01-01 13:20:18,568
7,79,1,2,2.5,0.5,27.0,0.3,0.5,1,2,N,0.0,0.0,30.8,2021-01-01 00:32:08,2021-01-01 00:14:41,9.19,2021-01-01 12:44:41,2021-01-01 13:02:08,1047
130,264,1,2,0.0,0.5,24.0,0.3,0.5,1,1,N,0.0,0.0,25.3,2021-01-01 00:34:40,2021-01-01 00:19:29,8.02,2021-01-01 12:49:29,2021-01-01 13:04:40,911
238,90,1,1,2.5,3.0,15.0,0.3,0.5,1,1,N,3.75,0.0,22.55,2021-01-01 00:17:06,2021-01-01 00:03:06,4.5,2021-01-01 12:33:06,2021-01-01 12:47:06,840
127,43,1,1,2.5,3.0,28.0,0.3,0.5,3,2,N,0.0,0.0,31.8,2021-01-01 00:48:38,2021-01-01 00:29:24,9.4,2021-01-01 12:59:24,2021-01-01 13:18:38,1154
